file_name,strategy,splits,backtracks,clauses,variables,givens,unit_rule,pure_rule,execution_time
cnf/sudoku/top870.sdk.txt/786.txt,Random,6,3,12013,729,25,10,10,2.8800208568573
cnf/sudoku/top870.sdk.txt/786.txt,Random,5,2,12013,729,25,8,8,2.9063045978546143
cnf/sudoku/top870.sdk.txt/786.txt,Random,11,9,12013,729,25,21,21,3.125087261199951
cnf/sudoku/top870.sdk.txt/786.txt,Random,10,6,12013,729,25,17,17,3.153202772140503
cnf/sudoku/top870.sdk.txt/786.txt,Random,6,5,12013,729,25,12,12,3.1564817428588867
cnf/sudoku/top870.sdk.txt/786.txt,Random,21,17,12013,729,25,39,39,3.3106017112731934
cnf/sudoku/top870.sdk.txt/786.txt,Random,38,35,12013,729,25,74,74,3.7572693824768066
cnf/sudoku/top870.sdk.txt/786.txt,Random,32,30,12013,729,25,63,63,3.8450822830200195
cnf/sudoku/top870.sdk.txt/786.txt,Random,38,35,12013,729,25,74,74,4.152356386184692
cnf/sudoku/top870.sdk.txt/786.txt,Random,61,60,12013,729,25,122,122,4.696778297424316
cnf/sudoku/top870.sdk.txt/22.txt,Random,14,9,12012,729,24,24,24,2.9486355781555176
cnf/sudoku/top870.sdk.txt/22.txt,Random,6,1,12012,729,24,8,8,2.907508611679077
cnf/sudoku/top870.sdk.txt/22.txt,Random,48,46,12012,729,24,95,95,3.533111333847046
cnf/sudoku/top870.sdk.txt/22.txt,Random,55,52,12012,729,24,108,108,4.148748159408569
cnf/sudoku/top870.sdk.txt/22.txt,Random,41,35,12012,729,24,77,77,3.563439130783081
cnf/sudoku/top870.sdk.txt/22.txt,Random,61,60,12012,729,24,122,122,4.69411563873291
cnf/sudoku/top870.sdk.txt/61.txt,Random,13,8,12009,729,21,22,22,3.031123161315918
cnf/sudoku/top870.sdk.txt/22.txt,Random,122,120,12012,729,24,243,243,6.899930238723755
cnf/sudoku/top870.sdk.txt/22.txt,Random,73,68,12012,729,24,142,142,5.315900802612305
cnf/sudoku/top870.sdk.txt/22.txt,Random,141,139,12012,729,24,281,281,6.792049407958984
cnf/sudoku/top870.sdk.txt/61.txt,Random,53,50,12009,729,21,104,104,4.1888957023620605
cnf/sudoku/top870.sdk.txt/22.txt,Random,145,144,12012,729,24,290,290,6.818176746368408
cnf/sudoku/top870.sdk.txt/61.txt,Random,31,24,12009,729,21,56,56,3.6389429569244385
cnf/sudoku/top870.sdk.txt/327.txt,Random,24,19,12012,729,24,44,44,3.538520574569702
cnf/sudoku/top870.sdk.txt/327.txt,Random,9,4,12012,729,24,14,14,3.0139920711517334
cnf/sudoku/top870.sdk.txt/61.txt,Random,119,113,12009,729,21,233,233,6.642202377319336
cnf/sudoku/top870.sdk.txt/61.txt,Random,126,121,12009,729,21,248,248,8.023686647415161
cnf/sudoku/top870.sdk.txt/327.txt,Random,34,33,12012,729,24,68,68,4.355710744857788
cnf/sudoku/top870.sdk.txt/237.txt,Random,27,22,12011,729,23,50,50,3.4556429386138916
cnf/sudoku/top870.sdk.txt/61.txt,Random,134,132,12009,729,21,267,267,7.124051094055176
cnf/sudoku/top870.sdk.txt/327.txt,Random,37,37,12012,729,24,75,75,4.277584552764893
cnf/sudoku/top870.sdk.txt/327.txt,Random,11,8,12012,729,24,20,20,3.0396876335144043
cnf/sudoku/top870.sdk.txt/237.txt,Random,105,105,12011,729,23,211,211,6.019975662231445
cnf/sudoku/top870.sdk.txt/237.txt,Random,44,44,12011,729,23,89,89,4.212305545806885
cnf/sudoku/top870.sdk.txt/78.txt,Random,54,49,12005,729,17,104,104,4.359907865524292
cnf/sudoku/top870.sdk.txt/327.txt,Random,8,4,12012,729,24,13,13,3.057309150695801
cnf/sudoku/top870.sdk.txt/61.txt,Random,287,284,12009,729,21,572,572,13.566341876983643
cnf/sudoku/top870.sdk.txt/237.txt,Random,10,6,12011,729,23,17,17,3.087491512298584
cnf/sudoku/top870.sdk.txt/61.txt,Random,232,224,12009,729,21,457,457,12.034070253372192
cnf/sudoku/top870.sdk.txt/237.txt,Random,40,39,12011,729,23,80,80,4.010261297225952
cnf/sudoku/top870.sdk.txt/869.txt,Random,17,10,12005,729,17,28,28,3.379455327987671
cnf/sudoku/top870.sdk.txt/61.txt,Random,298,296,12009,729,21,595,595,14.827464580535889
cnf/sudoku/top870.sdk.txt/237.txt,Random,24,21,12011,729,23,46,46,3.572890520095825
cnf/sudoku/top870.sdk.txt/61.txt,Random,292,291,12009,729,21,584,584,15.259678840637207
cnf/sudoku/top870.sdk.txt/327.txt,Random,14,11,12012,729,24,26,26,3.150967597961426
cnf/sudoku/top870.sdk.txt/78.txt,Random,30,27,12005,729,17,58,58,3.945435047149658
cnf/sudoku/top870.sdk.txt/78.txt,Random,78,72,12005,729,17,151,151,6.109330415725708
cnf/sudoku/top870.sdk.txt/327.txt,Random,47,43,12012,729,24,91,91,4.956796646118164
cnf/sudoku/top870.sdk.txt/78.txt,Random,168,162,12005,729,17,331,331,8.730368614196777
cnf/sudoku/top870.sdk.txt/771.txt,Random,47,42,12011,729,23,90,90,4.083497047424316
cnf/sudoku/top870.sdk.txt/869.txt,Random,16,7,12005,729,17,24,24,3.0581796169281006
cnf/sudoku/top870.sdk.txt/327.txt,Random,43,37,12012,729,24,81,81,4.575868844985962
cnf/sudoku/top870.sdk.txt/327.txt,Random,51,48,12012,729,24,100,100,4.63953709602356
cnf/sudoku/top870.sdk.txt/78.txt,Random,145,140,12005,729,17,286,286,7.23575758934021
cnf/sudoku/top870.sdk.txt/237.txt,Random,56,54,12011,729,23,111,111,4.655516147613525
cnf/sudoku/top870.sdk.txt/869.txt,Random,41,38,12005,729,17,80,80,4.470653772354126
cnf/sudoku/top870.sdk.txt/237.txt,Random,62,60,12011,729,23,123,123,4.724717378616333
cnf/sudoku/top870.sdk.txt/771.txt,Random,25,16,12011,729,23,42,42,2.802665948867798
cnf/sudoku/top870.sdk.txt/237.txt,Random,2,1,12011,729,23,4,4,2.848377227783203
cnf/sudoku/top870.sdk.txt/869.txt,Random,40,39,12005,729,17,80,80,4.076177597045898
cnf/sudoku/top870.sdk.txt/237.txt,Random,18,14,12011,729,23,33,33,3.2627315521240234
cnf/sudoku/top870.sdk.txt/771.txt,Random,45,41,12011,729,23,87,87,4.061973333358765
cnf/sudoku/top870.sdk.txt/78.txt,Random,18,14,12005,729,17,33,33,3.3283896446228027
cnf/sudoku/top870.sdk.txt/771.txt,Random,17,8,12011,729,23,26,26,3.074580430984497
cnf/sudoku/top870.sdk.txt/368.txt,Random,138,135,12011,729,23,274,274,7.470534563064575
cnf/sudoku/top870.sdk.txt/368.txt,Random,31,27,12011,729,23,59,59,3.7152369022369385
cnf/sudoku/top870.sdk.txt/78.txt,Random,223,220,12005,729,17,444,444,11.52665090560913
cnf/sudoku/top870.sdk.txt/78.txt,Random,91,87,12005,729,17,179,179,5.751593351364136
cnf/sudoku/top870.sdk.txt/368.txt,Random,29,21,12011,729,23,51,51,3.575629711151123
cnf/sudoku/top870.sdk.txt/869.txt,Random,8,0,12005,729,17,9,9,2.8716065883636475
cnf/sudoku/top870.sdk.txt/869.txt,Random,56,49,12005,729,17,106,106,4.84192156791687
cnf/sudoku/top870.sdk.txt/693.txt,Random,28,24,12011,729,23,53,53,3.6346664428710938
cnf/sudoku/top870.sdk.txt/368.txt,Random,89,86,12011,729,23,176,176,5.319908142089844
cnf/sudoku/top870.sdk.txt/78.txt,Random,193,183,12005,729,17,377,377,10.373378038406372
cnf/sudoku/top870.sdk.txt/693.txt,Random,31,27,12011,729,23,59,59,4.4602580070495605
cnf/sudoku/top870.sdk.txt/78.txt,Random,136,130,12005,729,17,267,267,8.214096546173096
cnf/sudoku/top870.sdk.txt/869.txt,Random,32,27,12005,729,17,60,60,3.938297748565674
cnf/sudoku/top870.sdk.txt/826.txt,Random,5,1,12012,729,24,7,7,2.9039971828460693
cnf/sudoku/top870.sdk.txt/771.txt,Random,21,20,12011,729,23,42,42,3.499986171722412
cnf/sudoku/top870.sdk.txt/693.txt,Random,8,4,12011,729,23,13,13,3.1812939643859863
cnf/sudoku/top870.sdk.txt/869.txt,Random,229,224,12005,729,17,454,454,13.331008911132812
cnf/sudoku/top870.sdk.txt/693.txt,Random,39,35,12011,729,23,75,75,3.828113317489624
cnf/sudoku/top870.sdk.txt/869.txt,Random,18,12,12005,729,17,31,31,3.278640031814575
cnf/sudoku/top870.sdk.txt/771.txt,Random,42,38,12011,729,23,81,81,4.4327781200408936
cnf/sudoku/top870.sdk.txt/771.txt,Random,8,6,12011,729,23,15,15,3.172621965408325
cnf/sudoku/top870.sdk.txt/826.txt,Random,64,63,12012,729,24,128,128,5.353956937789917
cnf/sudoku/top870.sdk.txt/596.txt,Random,21,16,12011,729,23,38,38,3.25787615776062
cnf/sudoku/top870.sdk.txt/826.txt,Random,2,0,12012,729,24,3,3,2.7008183002471924
cnf/sudoku/top870.sdk.txt/869.txt,Random,60,54,12005,729,17,115,115,5.1964476108551025
cnf/sudoku/top870.sdk.txt/771.txt,Random,16,10,12011,729,23,27,27,3.3130648136138916
cnf/sudoku/top870.sdk.txt/771.txt,Random,44,42,12011,729,23,87,87,4.230531692504883
cnf/sudoku/top870.sdk.txt/826.txt,Random,56,49,12012,729,24,106,106,4.884788274765015
cnf/sudoku/top870.sdk.txt/596.txt,Random,23,22,12011,729,23,46,46,3.419482707977295
cnf/sudoku/top870.sdk.txt/328.txt,Random,30,25,12013,729,25,56,56,3.5641000270843506
cnf/sudoku/top870.sdk.txt/771.txt,Random,10,6,12011,729,23,17,17,3.041860580444336
cnf/sudoku/top870.sdk.txt/368.txt,Random,96,94,12011,729,23,191,191,6.9298951625823975
cnf/sudoku/top870.sdk.txt/596.txt,Random,38,36,12011,729,23,75,75,3.8762004375457764
cnf/sudoku/top870.sdk.txt/368.txt,Random,41,34,12011,729,23,76,76,4.6413044929504395
cnf/sudoku/top870.sdk.txt/368.txt,Random,19,15,12011,729,23,35,35,3.639404058456421
cnf/sudoku/top870.sdk.txt/368.txt,Random,5,2,12011,729,23,8,8,3.0225179195404053
cnf/sudoku/top870.sdk.txt/596.txt,Random,56,54,12011,729,23,111,111,4.118557929992676
cnf/sudoku/top870.sdk.txt/673.txt,Random,17,14,12011,729,23,32,32,3.2509937286376953
cnf/sudoku/top870.sdk.txt/368.txt,Random,25,17,12011,729,23,43,43,3.31623911857605
cnf/sudoku/top870.sdk.txt/693.txt,Random,6,1,12011,729,23,8,8,2.8335177898406982
cnf/sudoku/top870.sdk.txt/328.txt,Random,46,43,12013,729,25,90,90,4.270506381988525
cnf/sudoku/top870.sdk.txt/328.txt,Random,36,35,12013,729,25,72,72,3.790066957473755
cnf/sudoku/top870.sdk.txt/693.txt,Random,14,12,12011,729,23,27,27,3.2203779220581055
cnf/sudoku/top870.sdk.txt/368.txt,Random,219,213,12011,729,23,433,433,10.665404796600342
cnf/sudoku/top870.sdk.txt/693.txt,Random,46,42,12011,729,23,89,89,4.641251087188721
cnf/sudoku/top870.sdk.txt/328.txt,Random,8,6,12013,729,25,15,15,2.949598550796509
